Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Ferdinand Buisson,1927 - Peace,,,Male,"Paris, France",France,,"Ferdinand Édouard Buisson (December 20, 1841 Paris - February 16, 1932 Thieuloy-Saint-Antoine ) was a French academic, educational bureaucrat, pacifist and Radical-Socialist (left liberal) politician. He presided over the League of Education from 1902 to 1906 and the Human Rights League (LDH) from 1914 to 1926. In 1927, the Nobel Peace Prize was awarded to him jointly with Ludwig Quidde. Philosopher and educator, he was Director of Primary Education. He was the author of a thesis on Sebastian Castellio, in whom he saw a ""liberal Protestant"" in his image. Ferdinand Buisson was the president of the National Association of Freethinkers. In 1905, he chaired the parliamentary committee to implement the separation of church and state. Famous for his fight for secular education through the League of Education, he coined the term laïcité (""secularism"").",1841,86,,France,http://upload.wikimedia.org/wikipedia/commons//d/da/Ferdinand_Buisson_%281841-1932%29.jpg,http://dbpedia.org/page/Ferdinand_Buisson,http://en.wikipedia.org/wiki/Ferdinand_Buisson
Charles Thomson Rees Wilson,1927 - Physics,,,Male,"Midlothian, Scotland, United Kingdom",United Kingdom,,"Charles Thomson Rees Wilson, CH, FRS (14 February 1869 – 15 November 1959) was a Scottish physicist and meteorologist who received the Nobel Prize in physics for his invention of the cloud chamber.",1869,58,"University of Manchester, University of Cambridge",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/2/20/CTR_Wilson.jpg,http://dbpedia.org/page/Charles_Thomson_Rees_Wilson,http://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson
Arthur Compton,1927 - Physics,"Compton scattering, Compton wavelength",,Male,"Wooster, Ohio, United States",United States of America,,"Arthur Holly Compton (September 10, 1892 – March 15, 1962) was an American physicist who won the Nobel Prize in Physics in 1927 for his discovery of the Compton effect. He is also known for his leadership of the Manhattan Project s Metallurgical Laboratory. He served as Chancellor of Washington University in St. Louis from 1945 to 1953.",1892,35,"Princeton University, College of Wooster",United States of America,http://upload.wikimedia.org/wikipedia/commons/c/c3/Arthur_Compton.jpg,http://dbpedia.org/page/Arthur_Compton,http://en.wikipedia.org/wiki/Arthur_Compton
Adolf Otto Reinhold Windaus,1928 - Chemestry,,,Male,"Berlin, Germany",Germany,German Chemist,Adolf Otto Reinhold Windaus (25 December 1876 – 9 June 1959) was a German chemist who won a Nobel Prize in Chemistry in 1928 for his work on sterols and their relation to vitamins. He was the doctoral advisor of Adolf Butenandt who also won a Nobel Prize in Chemistry in 1939.,1876,52,,Germany,http://upload.wikimedia.org/wikipedia/commons/7/79/Windaus.jpg,http://dbpedia.org/page/Adolf_Otto_Reinhold_Windaus,http://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus
Sigrid Undset,1928 - Literature,,,Female,"Kalundborg, Denmark",Denmark,Novelist,Sigrid Undset (20 May 1882 – 10 June 1949) was a Norwegian novelist who was awarded the Nobel Prize for Literature in 1928.,1882,46,,Norway,http://upload.wikimedia.org/wikipedia/commons/1/14/Sigrid_Undset_1928.jpg,http://dbpedia.org/page/Sigrid_Undset,http://en.wikipedia.org/wiki/Sigrid_Undset
Charles Nicolle,1928 - Medicine / Physiology,Epidemic typhus,,Male,"Rouen, France",France,French Microbiologist,Charles Jules Henry Nicolle (21 September 1866 Rouen – 28 February 1936 Tunis ) was a French bacteriologist who received the Nobel Prize in Medicine for his identification of lice as the transmitter of epidemic typhus.,1866,62,,France,http://upload.wikimedia.org/wikipedia/commons/2/26/Charles_Nicolle_at_microscope.jpg,http://dbpedia.org/page/Charles_Nicolle,http://en.wikipedia.org/wiki/Charles_Nicolle
Owen Willans Richardson,1928 - Physics,Thermionic emission,,Male,"Yorkshire, Dewsbury, United Kingdom",United Kingdom,British Physicist,"Sir Owen Willans Richardson, FRS (26 April 1879 – 15 February 1959) was a British physicist who won the Nobel Prize in Physics in 1928 for his work on thermionic emission, which led to Richardson's Law. ",1879,49,"University College London, University of Cambridge",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/3/3e/Niels_BohrUpOwenWillansRichardsonDownSolvay1927.JPG,http://dbpedia.org/page/Owen_Willans_Richardson,http://en.wikipedia.org/wiki/Owen_Willans_Richardson
Arthur Harden,1929 - Chemestry,Chemistry of the yeast cell,,Male,"Manchester, United Kingdom",United Kingdom,British Biochemist,"Sir Arthur Harden FRS (12 October 1865 Manchester, Lancashire – 17 June 1940 Bourne End, Buckinghamshire ) was a British biochemist. He shared the Nobel Prize in Chemistry in 1929 with Hans Karl August Simon von Euler-Chelpin for their investigations into the fermentation of sugar and fermentative enzymes. ",1865,64,"University of Manchester, University of Erlangen-Nuremberg",United Kingdom,http://upload.wikimedia.org/wikipedia/commons/f/ff/ArthurHarden.jpg,http://dbpedia.org/page/Arthur_Harden,http://en.wikipedia.org/wiki/Arthur_Harden
Hans von Euler-Chelpin,1929 - Chemestry,,Chemistry,Male,"Augsburg, Germany",Germany,Swedish Scientist,"Hans Karl August Simon von Euler-Chelpin (15 February 1873 – 6 November 1964) was a German -born Swedish biochemist. He won the Nobel Prize in Chemistry in 1929 with Arthur Harden for their investigations on the fermentation of sugar and enzymes. He was a professor of general and organic chemistry at Stockholm University (1906–1941) and the director of its Institute for organic-chemical research (1938–1948). Von Euler-Chelpin married Astrid Cleve, the daughter of the Uppsala chemist Per Teodor Cleve and was the great-great-great grandson of Leonhard Euler. In 1970, his son Ulf von Euler, was awarded the Nobel Prize in Physiology or Medicine.",1873,56,Humboldt University of Berlin,"Germany, Sweden",http://upload.wikimedia.org/wikipedia/commons/0/0a/Euler-chelpin.jpg,http://dbpedia.org/page/Hans_von_Euler-Chelpin,http://en.wikipedia.org/wiki/Hans_von_Euler-Chelpin
Thomas Mann,1929 - Literature,,,Male,"Lübeck, Germany",Germany,German Writer,"Paul Thomas Mann ( [paʊ̯l toːmas man]; 6 June 1875 – 12 August 1955) was a German novelist, short story writer, social critic, philanthropist, essayist, and the 1929 Nobel Prize in Literature laureate. His highly symbolic and ironic epic novels and novellas are noted for their insight into the psychology of the artist and the intellectual. His analysis and critique of the European and German soul used modernized German and Biblical stories, as well as the ideas of Goethe, Nietzsche and Schopenhauer. Mann was a member of the Hanseatic Mann family and portrayed his family and class in the novel Buddenbrooks. His older brother was the radical writer Heinrich Mann and three of his six children, Erika Mann, Klaus Mann and Golo Mann, also became important German writers. When Hitler came to power in 1933, Mann fled to Switzerland. When World War II broke out in 1939, he emigrated to the United States, returning to Switzerland in 1952. Thomas Mann is one of the best-known exponents of the so-called Exilliteratur.",1875,54,,Germany,http://upload.wikimedia.org/wikipedia/commons/9/92/Thomas_Mann_1937.jpg,http://dbpedia.org/page/Thomas_Mann,http://en.wikipedia.org/wiki/Thomas_Mann
Christiaan Eijkman,1929 - Medicine / Physiology,"Beriberi, Vitamins",,Male,"Nijkerk, Netherlands",Netherlands,Dutch Physician,"Christiaan Eijkman ( Dutch: [ˈkrɪstiaːn ˈɛikmɐn]; 11 August 1858 – 5 November 1930) was a Dutch physician and professor of physiology whose demonstration that beriberi is caused by poor diet led to the discovery of vitamins. Together with Sir Frederick Hopkins, he received the Nobel Prize for Physiology or Medicine.",1858,71,,Netherlands,http://upload.wikimedia.org/wikipedia/commons/a/ac/Christiaan_Eijkman.jpg,http://dbpedia.org/page/Christiaan_Eijkman,http://en.wikipedia.org/wiki/Christiaan_Eijkman
Frederick Gowland Hopkins,1929 - Medicine / Physiology,"Tryptophan, Glutathione",,Male,"Sussex, England, United Kingdom",United Kingdom,,"Sir Frederick Gowland Hopkins OM FRS (20 June 1861 – 16 May 1947) was an English biochemist who was awarded the Nobel Prize in Physiology or Medicine in 1929, with Christiaan Eijkman, for the discovery of vitamins. He also discovered the amino acid tryptophan, in 1901. He was President of the Royal Society from 1930 to 1935.",1861,68,King's College,United Kingdom,http://upload.wikimedia.org/wikipedia/commons/7/75/Frederick_Gowland_Hopkins_nobel.jpg,http://dbpedia.org/page/Frederick_Gowland_Hopkins,http://en.wikipedia.org/wiki/Frederick_Gowland_Hopkins
Frank B. Kellogg,1929 - Peace,,,Male,"Potsdam, New York, United States",United States of America,American Politician,"Frank Billings Kellogg (December 22, 1856 – December 21, 1937) was an American lawyer, politician and statesman who served in the U.S. Senate and as U.S. Secretary of State. He co-authored the Kellogg–Briand Pact, for which he was awarded the Nobel Peace Prize for 1929. ",1856,73,,United States of America,http://upload.wikimedia.org/wikipedia/commons/a/a2/FrankKellogg.jpg,http://dbpedia.org/page/Frank_B._Kellogg,http://en.wikipedia.org/wiki/Frank_B._Kellogg
Louis de Broglie,1929 - Physics,"De Broglie–Bohm theory, Matter wave, Wave nature of electrons",,Male,"Dieppe, France",France,Physicist,"Louis-Victor-Pierre-Raymond, 7th duc de Broglie, ( /dəˈbrɔɪ/; French pronunciation: ​ [dəbʁɔj], [dəbʁœj]; 15 August 1892 – 19 March 1987) was a French physicist who made groundbreaking contributions to quantum theory. In his 1924 PhD thesis he postulated the wave nature of electrons and suggested that all matter has wave properties. This concept is known as wave-particle duality or the de Broglie hypothesis. He won the Nobel Prize for Physics in 1929. The wave-like behaviour of particles discovered by de Broglie was used by Erwin Schrödinger in his formulation of wave mechanics. Louis de Broglie was the sixteenth member elected to occupy seat 1 of the Académie française in 1944, and served as Perpetual Secretary of the French Academy of Sciences. ",1892,37,University of Paris,France,http://upload.wikimedia.org/wikipedia/commons/d/d2/Broglie_Big.jpg,http://dbpedia.org/page/Louis_de_Broglie,http://en.wikipedia.org/wiki/Louis_de_Broglie
Hans Fischer,1930 - Chemestry,,,Male,"Höchst (Frankfurt am Main), Germany",Germany,German Chemist,Hans Fischer (27 July 1881 – 31 March 1945) was a German organic chemist and the recipient of the 1930 Nobel Prize for Chemistry.,1881,49,"University of Lausanne, University of Marburg",Germany,http://upload.wikimedia.org/wikipedia/commons/1/15/Hans_Fischer_%28Nobel%29.jpg,http://dbpedia.org/page/Hans_Fischer,http://en.wikipedia.org/wiki/Hans_Fischer
Sinclair Lewis,1930 - Literature,,,Male,"Sauk Centre, Minnesota, United States",United States of America,"Novelist, Short Story Writer, Playwright","Harry Sinclair Lewis (February 7, 1885 – January 10, 1951) was an American novelist, short-story writer, and playwright. In 1930, he became the first writer from the United States to receive the Nobel Prize in Literature, which was awarded ""for his vigorous and graphic art of description and his ability to create, with wit and humor, new types of characters."" His works are known for their insightful and critical views of American capitalism and materialism between the wars. He is also respected for his strong characterizations of modern working women. H.L. Mencken wrote of him, "" there was ever a novelist among us with an authentic call to the trade... it is this red-haired tornado from the Minnesota wilds."" ",1885,45,,United States of America,http://upload.wikimedia.org/wikipedia/commons//0/0a/Sinclair_Lewis_1930.jpg,http://dbpedia.org/page/Sinclair_Lewis,http://en.wikipedia.org/wiki/Sinclair_Lewis
Karl Landsteiner,1930 - Medicine / Physiology,"Blood group system, Rh factor, Poliovirus",,Male,"Baden bei Wien, Austria",Austria,Austrian Pathologist,"Karl Landsteiner, ForMemRS (June 14, 1868 – June 26, 1943), was an Austrian biologist and physician. He is noted for having first distinguished the main blood groups in 1900, having developed the modern system of classification of blood groups from his identification of the presence of agglutinins in the blood, and having identified, with Alexander S. Wiener, the Rhesus factor, in 1937, thus enabling physicians to transfuse blood without endangering the patient′s life. With Constantin Levaditi and Erwin Popper, he discovered the polio virus, in 1909. In 1930 he received the Nobel Prize in Physiology or Medicine. He was awarded a Lasker Award in 1946 posthumously and is recognized as the father of transfusion medicine.",1868,62,University of Vienna,Austria,http://upload.wikimedia.org/wikipedia/ene/e0/Karl_Landsteiner_nobel.jpg,http://dbpedia.org/page/Karl_Landsteiner,http://en.wikipedia.org/wiki/Karl_Landsteiner
Nathan Söderblom,1930 - Peace,,,Male,"Trönö , Gävleborg County, Sweden",Sweden,Swedish Clergyman,"Lars Olof Jonathan Söderblom ( Swedish pronunciation: [ˈnɑːtan ˈsøːdɛrblʊm] ) (15 January 1866 – 12 July 1931) was a Swedish clergyman, Archbishop of Uppsala in the Church of Sweden, and recipient of the 1930 Nobel Peace Prize. He is commemorated in the Calendar of Saints of the Lutheran Church and in the liturgical calendar of the Episcopal Church (USA) on July 12.",1866,64,Uppsala University,Sweden,http://upload.wikimedia.org/wikipedia/commons/4/49/Nathan_S%C3%B6derblom.jpg,http://dbpedia.org/page/Nathan_S%C3%B6derblom,http://en.wikipedia.org/wiki/Nathan_S%C3%B6derblom
C. V. Raman,1930 - Physics,Raman scattering,,Male,"Tiruchirapalli, India",India,Physicist,"Sir Chandrasekhara Venkata Raman, FRS ( Tamil: சந்திரசேகர வெங்கட ராமன்; 7 November 1888 – 21 November 1970) was an Indian physicist, born in the former Madras Province, whose ground breaking work in the field of light scattering earned him the 1930 Nobel Prize for Physics. He discovered that, when light traverses a transparent material, some of the deflected light changes in wavelength. This phenomenon is now called Raman scattering and is the result of the Raman effect. In 1954, he was honoured with the highest civilian award in India, the Bharat Ratna. ",1888,42,University of Madras,India,http://upload.wikimedia.org/wikipedia/commons/e/e6/Sir_CV_Raman.JPG,http://dbpedia.org/page/C._V._Raman,http://en.wikipedia.org/wiki/C._V._Raman
