ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2012 - Alcohol & Tobacco Tax & Trade Bureau,http://www.opensecrets.org//lobby/agencysum.php?id=233&year=2012,Alcohol & Tobacco Tax & Trade Bureau,2012,13,59
2003 - Federal Housing Finance Board,http://www.opensecrets.org//lobby/agencysum.php?id=057&year=2003,Federal Housing Finance Board,2003,13,60
2007 - Council on Environmental Quality,http://www.opensecrets.org//lobby/agencysum.php?id=015&year=2007,Council on Environmental Quality,2007,130,223
2005 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2005,Securities & Exchange Commission,2005,130,235
2012 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2012,General Accounting Office,2012,130,334
2008 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=2008,Health Resources & Svcs Administration,2008,130,389
2002 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2002,US Agency for International Development,2002,131,203
1999 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=1999,Vice President's Office,1999,131,203
1998 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=1998,Internal Revenue Service,1998,131,210
2013 - General Services Administration,http://www.opensecrets.org//lobby/agencysum.php?id=065&year=2013,General Services Administration,2013,131,342
2008 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2008,National Aeronautics & Space Admin,2008,131,380
2009 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=2009,US Senate,2009,13126,64963
2004 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2004,National Aeronautics & Space Admin,2004,132,250
2014 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2014,US Customs Service,2014,132,251
2014 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=2014,National Oceanic & Atmospheric Admin,2014,132,255
2007 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2007,Securities & Exchange Commission,2007,132,269
2009 - National Security Council,http://www.opensecrets.org//lobby/agencysum.php?id=016&year=2009,National Security Council,2009,132,320
2013 - Dept of Air Force,http://www.opensecrets.org//lobby/agencysum.php?id=029&year=2013,Dept of Air Force,2013,132,395
2009 - US House of Representatives,http://www.opensecrets.org//lobby/agencysum.php?id=002&year=2009,US House of Representatives,2009,13248,65692
2000 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2000,National Aeronautics & Space Admin,2000,133,210
2005 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=2005,National Aeronautics & Space Admin,2005,133,229
1999 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=1999,Internal Revenue Service,1999,133,231
2008 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2008,General Accounting Office,2008,133,330
2009 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2009,Bureau of Indian Affairs,2009,133,370
2010 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2010,Bureau of Indian Affairs,2010,133,403
2009 - Transportation Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=204&year=2009,Transportation Security Administration,2009,133,422
2006 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2006,Small Business Administration,2006,134,208
2000 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2000,Internal Revenue Service,2000,134,212
2014 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=2014,Health Resources & Svcs Administration,2014,134,245
2013 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2013,Office of Science & Technology Policy,2013,134,362
2014 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2014,Bureau of Indian Affairs,2014,135,227
2003 - National Institutes of Health,http://www.opensecrets.org//lobby/agencysum.php?id=139&year=2003,National Institutes of Health,2003,135,229
2004 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2004,Small Business Administration,2004,135,234
2014 - Centers for Disease Control & Prevention,http://www.opensecrets.org//lobby/agencysum.php?id=134&year=2014,Centers for Disease Control & Prevention,2014,135,251
2013 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2013,US Agency for International Development,2013,135,388
2010 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2010,Federal Transit Administration,2010,135,420
2008 - Federal Energy Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=197&year=2008,Federal Energy Regulatory Commission,2008,135,452
2002 - National Science Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=076&year=2002,National Science Foundation,2002,136,188
2009 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2009,Federal Highway Administration,2009,136,408
2011 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2011,US Agency for International Development,2011,136,421
2012 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2012,Office of Science & Technology Policy,2012,137,362
2010 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2010,Dept of Defense,2010,1385,4614
2007 - Dept of Navy,http://www.opensecrets.org//lobby/agencysum.php?id=031&year=2007,Dept of Navy,2007,139,227
2010 - General Accounting Office,http://www.opensecrets.org//lobby/agencysum.php?id=005&year=2010,General Accounting Office,2010,139,332
2012 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2012,US Agency for International Development,2012,139,403
2013 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2013,Federal Transit Administration,2013,139,438
2013 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2013,US Customs Service,2013,139,462
2003 - Economic Development Administration,http://www.opensecrets.org//lobby/agencysum.php?id=108&year=2003,Economic Development Administration,2003,14,17
2005 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=2005,Def Advanced Research Projects Agency,2005,14,19
2001 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=2001,Federal Railroad Administration,2001,14,19
2006 - Bureau of Alcohol Tobacco & Firearms,http://www.opensecrets.org//lobby/agencysum.php?id=182&year=2006,Bureau of Alcohol Tobacco & Firearms,2006,14,20
2004 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2004,National Endowment for the Arts,2004,14,20
2014 - AMTRAK,http://www.opensecrets.org//lobby/agencysum.php?id=075&year=2014,AMTRAK,2014,14,21
2002 - Federal Railroad Administration,http://www.opensecrets.org//lobby/agencysum.php?id=174&year=2002,Federal Railroad Administration,2002,14,21
2002 - Mine Safety & Health Administration,http://www.opensecrets.org//lobby/agencysum.php?id=168&year=2002,Mine Safety & Health Administration,2002,14,21
2014 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2014,Federal Bureau of Investigation,2014,14,22
2007 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2007,US Geological Survey,2007,14,22
2001 - National Security Agency,http://www.opensecrets.org//lobby/agencysum.php?id=127&year=2001,National Security Agency,2001,14,22
2007 - Equal Employment Opportunity Commission,http://www.opensecrets.org//lobby/agencysum.php?id=050&year=2007,Equal Employment Opportunity Commission,2007,14,24
2007 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2007,Library of Congress,2007,14,26
2006 - Library of Congress,http://www.opensecrets.org//lobby/agencysum.php?id=007&year=2006,Library of Congress,2006,14,26
2010 - Faith-Based & Community Initiatives,http://www.opensecrets.org//lobby/agencysum.php?id=202&year=2010,Faith-Based & Community Initiatives,2010,14,28
2009 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2009,Pension Benefit Guaranty Corporation,2009,14,28
2005 - National Credit Union Administration,http://www.opensecrets.org//lobby/agencysum.php?id=071&year=2005,National Credit Union Administration,2005,14,28
2000 - Pension Benefit Guaranty Corporation,http://www.opensecrets.org//lobby/agencysum.php?id=085&year=2000,Pension Benefit Guaranty Corporation,2000,14,28
2013 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2013,Office of Justice Program,2013,14,31
2009 - Pipeline & Hazardous Materials Safety,http://www.opensecrets.org//lobby/agencysum.php?id=254&year=2009,Pipeline & Hazardous Materials Safety,2009,14,31
2012 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=2012,Central Intelligence Agency,2012,14,33
2010 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2010,Bureau of the Census,2010,14,35
2010 - Mine Safety & Health Administration,http://www.opensecrets.org//lobby/agencysum.php?id=168&year=2010,Mine Safety & Health Administration,2010,14,35
2011 - Defense Threat Reduction Agency,http://www.opensecrets.org//lobby/agencysum.php?id=236&year=2011,Defense Threat Reduction Agency,2011,14,36
2009 - Natl Inst of Mental Health,http://www.opensecrets.org//lobby/agencysum.php?id=220&year=2009,Natl Inst of Mental Health,2009,14,37
2013 - National Archives & Records Admin,http://www.opensecrets.org//lobby/agencysum.php?id=069&year=2013,National Archives & Records Admin,2013,14,39
2010 - Administration on Aging,http://www.opensecrets.org//lobby/agencysum.php?id=130&year=2010,Administration on Aging,2010,14,39
2011 - Defense Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=120&year=2011,Defense Intelligence Agency,2011,14,41
2008 - Farm Credit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=052&year=2008,Farm Credit Administration,2008,14,41
2010 - Natl Inst of Mental Health,http://www.opensecrets.org//lobby/agencysum.php?id=220&year=2010,Natl Inst of Mental Health,2010,14,42
2008 - Natl Inst of Mental Health,http://www.opensecrets.org//lobby/agencysum.php?id=220&year=2008,Natl Inst of Mental Health,2008,14,42
2008 - Alcohol & Tobacco Tax & Trade Bureau,http://www.opensecrets.org//lobby/agencysum.php?id=233&year=2008,Alcohol & Tobacco Tax & Trade Bureau,2008,14,44
2009 - Federal Maritime Commission,http://www.opensecrets.org//lobby/agencysum.php?id=059&year=2009,Federal Maritime Commission,2009,14,45
2014 - Federal Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=064&year=2014,Federal Trade Commission,2014,140,261
2009 - General Services Administration,http://www.opensecrets.org//lobby/agencysum.php?id=065&year=2009,General Services Administration,2009,140,355
2004 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2004,US Agency for International Development,2004,141,244
2006 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2006,Dept of Defense,2006,1416,5526
2013 - Federal Reserve System,http://www.opensecrets.org//lobby/agencysum.php?id=062&year=2013,Federal Reserve System,2013,142,438
2007 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=2007,National Oceanic & Atmospheric Admin,2007,143,238
2008 - US Agency for International Development,http://www.opensecrets.org//lobby/agencysum.php?id=196&year=2008,US Agency for International Development,2008,143,412
2008 - Securities & Exchange Commission,http://www.opensecrets.org//lobby/agencysum.php?id=088&year=2008,Securities & Exchange Commission,2008,143,487
2005 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2005,Dept of Army,2005,144,225
2004 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2004,Internal Revenue Service,2004,144,242
2008 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2008,Federal Highway Administration,2008,144,388
2005 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2005,Dept of Defense,2005,1442,5784
2011 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2011,US Customs Service,2011,145,487
2007 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2007,Dept of Defense,2007,1456,6279
2007 - Dept of Army,http://www.opensecrets.org//lobby/agencysum.php?id=030&year=2007,Dept of Army,2007,146,228
2013 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2013,Small Business Administration,2013,146,259
2011 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2011,Federal Transit Administration,2011,146,410
2012 - US Customs Service,http://www.opensecrets.org//lobby/agencysum.php?id=184&year=2012,US Customs Service,2012,146,470
2003 - Internal Revenue Service,http://www.opensecrets.org//lobby/agencysum.php?id=188&year=2003,Internal Revenue Service,2003,147,246
2012 - General Services Administration,http://www.opensecrets.org//lobby/agencysum.php?id=065&year=2012,General Services Administration,2012,147,385
2013 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2013,Bureau of Indian Affairs,2013,147,454
2009 - Dept of Defense,http://www.opensecrets.org//lobby/agencysum.php?id=025&year=2009,Dept of Defense,2009,1475,4764
2007 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=2007,Federal Emergency Management Agency,2007,149,229
2003 - Small Business Administration,http://www.opensecrets.org//lobby/agencysum.php?id=090&year=2003,Small Business Administration,2003,149,241
