Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Elvis Dumervil,Baltimore Ravens,Inside Linebacker,1,0,"$7,875",29.8,25/10/2013,19/01/1984,"Elvis Kool Dumervil (born January 19, 1984) is an American football outside linebacker for the Baltimore Ravens of the National Football League (NFL). He played college football for the University of Louisville and was recognized as a unanimous All-American . He was drafted by the Denver Broncos in the fourth round of the 2006 NFL Draft , and has been selected for the Pro Bowl three times.",http://en.wikipedia.org/wiki/Dumervil,//upload.wikimedia.org/wikipedia/commons/6/65/Elvis_Dumervil_2011.JPG
Eric Martin,Cleveland Browns,Outside Linebacker,1,0,"$7,875",22.3,25/10/2013,21/07/1991,"Eric Martin (born July 21, 1991) is an American football outside linebacker for the Cleveland Browns of the National Football League (NFL). He played college football at Nebraska. ",http://en.wikipedia.org/wiki/Eric_Martin_(linebacker),http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR588329.png
Fred Jackson,Buffalo Bills,Running Backs,1,0,"$7,875",32.6,11/10/2013,20/02/1981,"Frederick George ""Fred"" Jackson (born February 20, 1981) is an American football running back for the Buffalo Bills of the National Football League (NFL). He attended Lamar High School in Arlington, Texas. Jackson is known for his versatility and elusiveness, he is currently one of six team captains on the Buffalo Bills. As of the 2014 season, he is the oldest running back in the NFL.",http://en.wikipedia.org/wiki/Fred_Jackson_(American_football),//upload.wikimedia.org/wikipedia/commons/5/53/Fred_Jackson_NY_Jets_vs._Buffalo%2C_Oct_2009_-_05.jpg
Gino Gradkowski,Baltimore Ravens,Center,1,0,"$7,875",24.9,13/09/2013,05/11/1988,"Gino Gradkowski (born November 5, 1988) is an American football guard and center for the Baltimore Ravens of the National Football League (NFL). He played college football at the University of Delaware. ",http://en.wikipedia.org/wiki/Gino_Gradkowski,//upload.wikimedia.org/wikipedia/commons/9/9f/Gino_Gradkowski_2013.JPG
Glover Quin,Detroit Lions,Safety,1,0,"$7,875",27.9,06/12/2013,15/01/1986,"Glover Freeman Quin Jr. (born January 15, 1986) is an American football safety for the Detroit Lions of the National Football League . He was drafted by the Houston Texans in the fourth round of the 2009 NFL Draft . He played college football at New Mexico .",http://en.wikipedia.org/wiki/Glover_Quin,
Harvey Dahl,St. Louis Rams,Guard,1,0,"$7,875",32.3,25/10/2013,24/06/1981,"Harvey Dahl (born June 24, 1981) is an American football guard who is currently a free agent. He was signed by the Dallas Cowboys as an undrafted free agent in 2005. He played college football at Nevada-Reno .",http://en.wikipedia.org/wiki/Harvey_Dahl,//upload.wikimedia.org/wikipedia/commons/d/de/Harvey_Dahl.JPG
Henry Melton,Chicago Bears,Defensive Tackle,1,0,"$7,875",26.1,30/11/2012,11/10/1986,"Henry James Melton (born October 11, 1986) is an American football defensive tackle for the Dallas Cowboys of the National Football League (NFL). He played college football for the University of Texas , where he was a running back for the 2005 National Championship team , and also played on special teams . He was drafted by the Chicago Bears in the fourth round of the 2009 NFL Draft .",http://en.wikipedia.org/wiki/Henry_Melton,//upload.wikimedia.org/wikipedia/commons/4/4d/Melton_Quinnan_123.jpg
Jay Feely,Arizona Cardinals,Kicker,1,0,"$7,875",36.4,05/10/2012,26/05/1976,"Thomas James ""Jay"" Feely (born May 26, 1976) is an American football placekicker for the Chicago Bears of the National Football League (NFL). He was signed by the Florida Bobcats as a street free agent in 1999. He played college football at Michigan .",http://en.wikipedia.org/wiki/Jay_Feely,//upload.wikimedia.org/wikipedia/commons/5/57/Jay_Feely_ESPNWeekend2010-006.jpg
Jermelle Cudjo,St. Louis Rams,Defensive Tackle,1,0,"$7,875",26.0,12/10/2012,28/09/1986,"Jermelle Cudjo (born September 28, 1986) is an American football nose tackle who is currently a free agent.",http://en.wikipedia.org/wiki/Jermelle_Cudjo,
Jeromey Clary,San Diego Chargers,Guard,1,0,"$7,875",29.9,27/09/2013,05/11/1983,"Jeromey W. Clary (born November 5, 1983) is an American football guard for the San Diego Chargers of the National Football League (NFL). He was drafted by the Chargers in the sixth round of the 2006 NFL Draft . He played college football at Kansas State .",http://en.wikipedia.org/wiki/Jeromey_Clary,//upload.wikimedia.org/wikipedia/commons/f/ff/Jeromey_Clary.JPG
Jordan Poyer,Cleveland Browns,Cornerback,1,0,"$7,875",22.7,03/01/2014,25/04/1991,"Jordan Poyer (born April 25, 1991) is an American football cornerback for the Cleveland Browns of the National Football League (NFL). He played college football for Oregon State University and was named a consensus All-American . The Philadelphia Eagles chose him in the seventh round of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/Jordan_Poyer,
Jordan Todman,Jacksonville Jaguars,Running Backs,1,0,"$7,875",23.6,04/10/2013,24/02/1990,"Jordan Todman (born February 24, 1990) is an American football running back and kickoff returner for the Jacksonville Jaguars of the National Football League . He played college football with the University of Connecticut Huskies . He finished his collegiate career third on the Huskies all-time rushing list before being drafted with the 183rd overall pick by the San Diego Chargers in the sixth round of the 2011 NFL Draft .",http://en.wikipedia.org/wiki/Jordan_Todman,
Josh Morgan,Washington Redskins,Wide Receiver,1,0,"$7,875",27.3,21/09/2012,20/06/1985,"Joshua Lewis Morgan (born June 20, 1985) is an American football wide receiver for the Chicago Bears of the National Football League (NFL). He was drafted by the San Francisco 49ers in the sixth round of the 2008 NFL Draft . He played college football at Virginia Tech . He also played for the Washington Redskins .",http://en.wikipedia.org/wiki/Josh_Morgan,//upload.wikimedia.org/wikipedia/commons/7/7e/Josh_morgan_bears.jpg
Kam Chancellor,Seattle Seahawks,Safety,1,0,"$7,875",25.8,03/01/2014,03/04/1988,"Kameron Darnel Chancellor (born April 3, 1988) is an American football strong safety for the Seattle Seahawks of the National Football League (NFL). Chancellor was drafted by the Seahawks in the fifth round, 133rd overall pick of the 2010 NFL Draft . He played college football at Virginia Tech . Chancellor has played four seasons for Seattle, and was recognized for a break-out 2011 season by being sent to the 2012 Pro Bowl . Chancellor is a member of the Legion of Boom .",http://en.wikipedia.org/wiki/Kam_Chancellor,//upload.wikimedia.org/wikipedia/commons/9/99/Kam_Chancellor_2014_2.jpg
Kelcie McCray,Tampa Bay Buccaneers,Safety,1,0,"$7,875",25.1,25/10/2013,21/09/1988,"Kelcie Jerome McCray (born September 21, 1988) is an American football safety for the Kansas City Chiefs of the National Football League (NFL). He played college football for Arkansas State .",http://en.wikipedia.org/wiki/Kelcie_McCray,//upload.wikimedia.org/wikipedia/commons/6/6d/Kelcie_McCray.JPG
Kendall Langford,St. Louis Rams,Defensive Tackle,1,0,"$7,875",27.9,03/01/2014,27/01/1986,"Kendall Arkel Langford (born January 27, 1986) is an American football defensive tackle for the St. Louis Rams of the National Football League . He was drafted by the Miami Dolphins in the third round of the 2008 NFL Draft . He played college football at Hampton .",http://en.wikipedia.org/wiki/Kendall_Langford,//upload.wikimedia.org/wikipedia/commons/8/86/Kendall_Langford.jpg
Kenny Stills,New Orleans Saints,Wide Receiver,1,0,"$7,875",21.7,03/01/2014,22/04/1992,"Kenneth Lee Stills, Jr. (born April 22, 1992) is an American football wide receiver for the New Orleans Saints of the National Football League (NFL). After playing college football for the Oklahoma Sooners , he was drafted by the Saints in the fifth round of the 2013 NFL Draft .",http://en.wikipedia.org/wiki/Kenny_Stills,
Kenny Vaccaro,New Orleans Saints,Safety,1,0,"$7,875",22.6,13/09/2013,15/02/1991,"Kenneth Dwayne Vaccaro (born February 15, 1991) is an American football safety for New Orleans Saints of the National Football League (NFL). He played college football for the University of Texas at Austin and was drafted in the first round of the 2013 NFL Draft by the Saints.",http://en.wikipedia.org/wiki/Kenny_Vaccaro,//upload.wikimedia.org/wikipedia/commons/3/32/Kenny_vaccaro_longhorns_2010.jpg
Kevin Boothe,New York Giants,Guard,1,0,"$7,875",29.2,21/09/2012,05/07/1983,"Kevin Mark Boothe (born July 5, 1983) is an American football offensive lineman for the Oakland Raiders of the National Football League (NFL). He played college football at Cornell University . He was drafted in the sixth round (176th overall) by the Raiders in the 2006 NFL Draft . He has also played for the New York Giants .",http://en.wikipedia.org/wiki/Kevin_Boothe,//upload.wikimedia.org/wikipedia/commons/6/6a/Kevin_boothe_2011_postseason.jpg
Kris Durham,Detroit Lions,Wide Receiver,1,0,"$7,875",25.7,06/12/2013,17/03/1988,"Kris Durham (born March 17, 1988) is an American football wide receiver for the Tennessee Titans of the National Football League (NFL). He was drafted by the Seattle Seahawks in the fourth round of the 2011 NFL Draft . He played college football at Georgia .",http://en.wikipedia.org/wiki/Kris_Durham,
Lance Moore,New Orleans Saints,Wide Receiver,1,0,"$7,875",30.3,03/01/2014,31/08/1983,"Lance Andrew Moore (born August 31, 1983) is an American football wide receiver for the Pittsburgh Steelers of the National Football League (NFL). He played college football at Toledo . He was signed by the Cleveland Browns as an undrafted free agent in 2005. He joined the New Orleans Saints in 2006 and played with them for eight seasons. He was a member of the 2009 Super Bowl championship team .",http://en.wikipedia.org/wiki/Lance_Moore,//upload.wikimedia.org/wikipedia/commons/5/58/Lmoore.jpg
Larry Fitzgerald,Arizona Cardinals,Wide Receiver,1,0,"$7,875",29.1,12/10/2012,31/08/1983,"Larry Darnell Fitzgerald, Jr. (born August 31, 1983) is an American football wide receiver for the Arizona Cardinals of the National Football League (NFL). He played college football for the University of Pittsburgh, and earned unanimous All-American honors. The Arizona Cardinals chose Fitzgerald with the third overall pick in the 2004 NFL Draft, and he has played his entire professional career for the team. He has been selected for the Pro Bowl seven times, and currently ranks fifth all-time in NFL history in receiving yards per game for a career (76.0 yards per game), behind Calvin Johnson, Andre Johnson, Torry Holt, and Marvin Harrison. On November 24, 2013, at 30 years and 85 days of age, he became the youngest NFL receiver to reach 11,000 career receiving yards, surpassing the previous record-holder, Randy Moss. He agreed to an eight-year, $120 million contract extension on August 20, 2011. ",http://en.wikipedia.org/wiki/Larry_Fitzgerald,//upload.wikimedia.org/wikipedia/commons/0/07/Larry_Fitzgerald_060621-F-0782R-007_0T3TE_crop.jpg
Lavonte David,Tampa Bay Buccaneers,Outside Linebacker,1,0,"$7,875",23.6,13/09/2013,23/01/1990,"Lavonte David (born January 23, 1990) is an American football linebacker for the Tampa Bay Buccaneers of the National Football League (NFL). He was drafted by the Buccaneers in the second round of the 2012 NFL Draft . He played college football at Nebraska . Since becoming a professional player in the NFL, David has established himself as one of the premier linebackers of the league. Despite playing for sub .500 Tampa bay teams he is widely regarded as an elite player.",http://en.wikipedia.org/wiki/Lavonte_David,//upload.wikimedia.org/wikipedia/commons/f/f0/Lavonte_David.JPG
Letroy Guion,Minnesota Vikings,Defensive Tackle,1,0,"$7,875",25.2,14/09/2012,21/06/1987,"Letroy Guion (pronounced /ˈɡaɪən/ GY-ən ; born June 21, 1987) is an American football nose tackle for the Green Bay Packers of the National Football League (NFL). He was drafted by the Minnesota Vikings in the fifth round of the 2008 NFL Draft . He played college football at Florida State .",http://en.wikipedia.org/wiki/Letroy_Guion,
Malik Jackson,Denver Broncos,Defense,1,0,"$7,875",23.8,01/11/2013,11/01/1990,"Malik Jackson (born January 11, 1990) is an American football defensive lineman for the Denver Broncos of the National Football League . He played college football at Tennessee .",http://en.wikipedia.org/wiki/Malik_Jackson_(defensive_end),//upload.wikimedia.org/wikipedia/commons/b/b8/Malik_Jackson_%28defensive_end%29.JPG
Mario Williams,Buffalo Bills,Defense,1,0,"$7,875",30.4,01/11/2013,10/06/1983,"Kyle Derrick Williams (born June 10, 1983) is an American football defensive tackle for the Buffalo Bills of the National Football League (NFL). He played college football for Louisiana State University (LSU). He was drafted by the Bills in the fifth round (134th overall) of the 2006 NFL Draft . He has been elected to three Pro Bowls during his career.",http://en.wikipedia.org/wiki/Kyle_Williams_(defensive_tackle),//upload.wikimedia.org/wikipedia/commons/d/d5/Kyle_Williams%2C_Oct_26%2C_2004.jpeg
Marshal Yanda,Baltimore Ravens,Guard,1,0,"$7,875",28.0,21/09/2012,15/09/1984,"Marshal John Yanda (born September 15, 1984) is an American football offensive lineman for the Baltimore Ravens of the National Football League . He played college football at Iowa and was drafted by the Ravens in the third round of the 2007 NFL Draft .",http://en.wikipedia.org/wiki/Marshal_Yanda,//upload.wikimedia.org/wikipedia/commons/f/f8/Marshal_Yanda_Navy_Stadium_2012_Practice.jpg
