Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
"Victor Amadeus, Prince of Anhalt-Bernburg","http://en.wikipedia.org/wiki/Victor_Amadeus,_Prince_of_Anhalt-Bernburg","Victor Amadeus of Anhalt-Bernburg (Harzgerode, 6 October 1634 – Bernburg, 14 February 1718), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Bernburg .",,1634,22,22 September 1656,1656,14 February 1718,1718,"61 years,145 days",22425,Yes,No,"Harzgerode, Germany",Germany,Anhalt-Bernburg ,Germany,,,Prince,
George III of the United Kingdom,http://en.wikipedia.org/wiki/George_III_of_the_United_Kingdom,"George III (George William Frederick; 4 June 1738 – 29 January 1820) was King of Great Britain and King of Ireland from 25 October 1760 until the union of these two countries on 1 January 1801, after which he was King of the United Kingdom of Great Britain and Ireland until his death. He was concurrently Duke and prince-elector of Brunswick-Lüneburg (""Hanover"") in the Holy Roman Empire until his promotion to King of Hanover on 12 October 1814. He was the third British monarch of the House of Hanover, but unlike his two Hanoverian predecessors he was born in Britain, spoke English as his first language, and never visited Hanover. ",,1738,22,25 October 1760,1760,29 January 1820,1820,"59 years, 96 days",21645,Yes,No,,,United Kingdom,United Kingdom,,,King,
Sultan Ibrahim of Johor,http://en.wikipedia.org/wiki/Sultan_Ibrahim_of_Johor,"Sultan Ibrahim Iskandar Al-Masyhur ibni Abu Bakar or Sultan Ibrahim II, GCMG, GBE, (17 September 1873 – 8 May 1959) was the 22nd Sultan of Johor, in Malaysia. He was known as one of the richest men in the world during his reign.",,1873,22,4 June 1895,1895,8 May 1959,1959,"63 years,338 days",23348,Yes,No,,,Johor ,Malaysia,,,Sultan,
"Christian, Margrave of Brandenburg-Bayreuth","http://en.wikipedia.org/wiki/Christian,_Margrave_of_Brandenburg-Bayreuth","Christian, Margrave of Brandenburg-Bayreuth (Cölln, 30 January 1581 – Bayreuth, 30 May 1655) was a member of the House of Hohenzollern and Margrave of Brandenburg-Kulmbach (later renamed Brandenburg-Bayreuth ).",http://commons.wikimedia.org/wiki/Special:FilePath/ChristianvonBrandenburg-Bayreuth01.jpg?width=300,1581,22,25 April 1603,1603,30 May 1655,1655,"52 years, 35 days",19028,Yes,No,"Cölln, Germany",Germany,Brandenburg-Bayreuth ,Germany,,,Magrave,
Alaungsithu,http://en.wikipedia.org/wiki/Alaungsithu,"Alaungsithu or Sithu I (Burmese: အလောင်းစည်သူ [ʔəláʊɴ sìθù]; also Cansu I; 1089–1167) was king of Pagan Dynasty of Burma (Myanmar) from c. 1112 to 1167. Sithu's reign was a prosperous one in which Pagan was an integral part of in-land and maritime trading networks. Sithu engaged in a massive building campaign throughout the kingdom, which included colonies, forts and outposts at strategic locations to strengthen the frontiers, ordination halls and pagodas for the support of religion, as well as reservoirs, dams and other land improvements to assist the farmers. He also introduced standardized weights and measures throughout the country to assist administration as well as trade. He presided over the beginning of a transition away from the Mon culture toward the expression of a distinctive Burman style.",http://commons.wikimedia.org/wiki/Special:FilePath/Min_Sithu_Nat.jpg?width=300,1089,23,1112,1112,1167,1167,55 years,20088,Yes,No,"Bagan, Myanmar",Myanmar,Pagan ,Malaysia,,,King,
"Wilhelm IV, Duke of Jülich-Berg","http://en.wikipedia.org/wiki/William,_Duke_of_J%C3%BClich-Cleves-Berg","William of Jülich-Cleves-Berge (William I of Cleves, William V of Jülich-Berg) (German: Wilhelm der Reiche; 28 July 1516 – 5 January 1592) was a Duke of Jülich-Cleves-Berg (1539–1592). William was born in and died in Düsseldorf. He was the only son of John III, Duke of Jülich-Cleves-Berg, and Maria, Duchess of Jülich-Berg. William took over rule of his father's estates (the Duchy of Cleves and the County of Mark) upon his death in 1539. Despite his mother having lived until 1543, William also became the Duke of Berg and Jülich and the Count of Ravenstein .",,1516,23,6 February 1539,1539,5 January 1592,1592,"52 years,333 days",19326,Yes,No,,,Jülich-Cleves-Berg ,"Germany, The Netherlands",,,Duke,
"Leopold IV, Duke of Anhalt","http://en.wikipedia.org/wiki/Leopold_IV,_Duke_of_Anhalt","Leopold IV Frederick, Duke of Anhalt (1 October 1794 – 22 May 1871) was a German prince of the House of Ascania .",http://commons.wikimedia.org/wiki/Special:FilePath/Leopold_IV_Anhalt.jpg?width=300,1794,23,9 August 1817,1817,22 May 1871,1871,"53 years,286 days",19644,Yes,No,,,Anhalt-Dessau,Germany,,,Duke,
"Maximilian I, Elector of Bavaria","http://en.wikipedia.org/wiki/Maximilian_I,_Elector_of_Bavaria","Maximilian I, Duke/Elector of Bavaria (17 April 1573 – 27 September 1651), called ""the Great"", was a Wittelsbach ruler of Bavaria and a prince-elector (Kurfürst) of the Holy Roman Empire. His reign was marked by the Thirty Years' War (1618–1648).",http://commons.wikimedia.org/wiki/Special:FilePath/Joachim_von_Sandrart_009.jpg?width=300,1573,24,15 October 1597,1597,27 September 1651,1651,"53 years,347 days",19705,Yes,No,"Munich, Germany",Germany,Bavaria ,Germany,,,"Prince, Elector, Duke",
"William, Duke of Brunswick-Lüneburg","http://en.wikipedia.org/wiki/William,_Duke_of_Brunswick","William (German: Wilhelm August Ludwig Maximilian Friedrich; born 25 April 1806 in Brunswick, Brunswick-Wolfenbüttel – died 18 October 1884 in Sibyllenort, Silesia, Prussia ), Duke of Brunswick, was ruling duke of the Duchy of Brunswick from 1830 until his death.",,1806,24,10 September 1830,1830,18 October 1884,1884,"54 years, 38 days",19761,Yes,No,,,Brunswick,Germany,,,Duke,
Yumjaagiin Tsedenbal,http://en.wikipedia.org/wiki/Yumjaagiin_Tsedenbal,"Yumjaagiin Tsedenbal (Mongolian: Юмжаагийн Цэдэнбал; September 17, 1916 – April 20, 1991) was one of the leaders of Mongolia from 1952 to 1984. During his political life, he served as prime minister and general secretary of the Mongolian People's Party .",http://commons.wikimedia.org/wiki/Special:FilePath/Tsedenbal_BundesArchiv.jpg?width=300,1916,24,8 April 1940,1940,23 August 1984,1984,"44 years, 137 days",16208,No,No,"Davst (Uvs), Mongolia",Mongolia,Mongolia,Mongolia,Mongolian People's Party,,"General Secretary, Prime Minister, President",
Qianlong Emperor,http://en.wikipedia.org/wiki/Qianlong_Emperor,"The Qianlong Emperor (Chien-lung Emperor; born Hongli (Hung-li; Chinese: 弘曆; Möllendorff transliteration hung li ); 25 September 1711 – 7 February 1799) was the sixth emperor of the Manchu -led Qing Dynasty, and the fourth Qing emperor to rule over China proper. The fourth son of the Yongzheng Emperor, he reigned officially from 11 October 1735 to 8 February 1796. 1 On 8 February, he abdicated in favor of his son, the Jiaqing Emperor – a filial act in order not to reign longer than his grandfather, the illustrious Kangxi Emperor. Despite his retirement, however, he retained ultimate power until his death in 1799. Although his early years saw the continuation of an era of prosperity in China, his final years saw troubles at home and abroad converge on the Qing Empire.",http://commons.wikimedia.org/wiki/Special:FilePath/清_郎世宁绘《清高宗乾隆帝朝服像》.jpg?width=300,1711,24,18 October 1735,1735,8 February 1796,1796,"60 years,113 days",22028,Yes,No,,,Qing ,China,,,Emperor,
"Henry V, Duke of Brunswick-Lüneburg","http://en.wikipedia.org/wiki/Henry_V,_Duke_of_Brunswick-L%C3%BCneburg","Henry (Latin: Henricus; 10 November 1489 – 11 June 1568), Duke of Brunswick-Lüneburg, called the Younger, (also called Heinrich der Jüngere) was Prince of Wolfenbüttel from 1514 until his death. The last Catholic of the Welf princes is known for the large number of wars in which he was involved.",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich_II._(der_Jüngere)_1489-1568_01.jpg?width=300,1489,25,23 June 1514,1514,11 June 1568,1568,"53 years,354 days",19712,Yes,No,"Wolfenbüttel, Germany",Germany,Brunswick-Lüneburg ,Germany,,,Duke,
"Hirohito, Emperor of Japan",http://en.wikipedia.org/wiki/Hirohito,"Emperor Shōwa (昭和天皇,Shōwa-tennō?, April 29, 1901 – January 7, 1989) was the 124th Emperor of Japan according to the traditional order, reigning from December 25, 1926, until his death on January 7, 1989. Although better known outside of Japan by his personal name Hirohito (裕仁?), in Japan he is now referred to primarily by his posthumous name Emperor Shōwa. The word Shōwa is the name of the era that corresponded with the Emperor's reign, and was made the Emperor's own name upon his death. In Japanese, the reigning Emperor is referred to without a personal name as ""his Majesty the Emperor"" (天皇陛下,Tennō Heika?) or ""his current Majesty"" (今上陛下,Kinjō Heika?). The name Hirohito (裕仁) means ""abundant benevolence"".",,1901,25,25 December 1926,1926,7 January 1989,1989,"62 years, 13 days",22658,Yes,No,,,Japan,Japan,,,Emperor,
Joanna of Castile,http://en.wikipedia.org/wiki/Joanna_of_Castile,"Joanna (6 November 1479 – 12 April 1555), known as Joanna the Mad (Spanish: Juana la Loca ), was queen of Castile from 1504 and of Aragon from 1516. From the union of these two crowns modern Spain evolved. Joanna married Philip the Handsome, who was crowned King of Castile in 1506, initiating the rule of the Habsburgs in Spain. After Philip's death that same year, Joanna was deemed mentally ill and was confined to a nunnery for the rest of her life. Though she remained the legal queen of Castile throughout this time, her father, Ferdinand II of Aragon, was regent until his death, when she inherited his kingdom as well. From 1517, her son, Charles, ruled as king, while she nominally remained co-monarch.",http://commons.wikimedia.org/wiki/Special:FilePath/Juan_de_Flandes_003.jpg?width=300,1479,25,26 November 1504,1504,12 April 1555,1555,"50 years,137 days",18399,Yes,No,"Toledo, Spain",Toledo,Castile ,Spain,,,King,
Tuanku Syed Putra ibni Syed Hassan Jamalullail,http://en.wikipedia.org/wiki/Putra_of_Perlis,"Raja Syed Harrun Putra ibni Syed Hassan Jamalullail, KCMG (25 November 1920 – 16 April 2000) was the third Yang di-Pertuan Agong of Malaya, and later of Malaysia (21 September 1960 – 20 September 1965), and sixth Raja of Perlis from 1945 to 2000.",,1920,25,4 December 1945,1945,16 April 2000,2000,"54 years,134 days",19857,Yes,No,"Arau, Malaysia",Malaysia,Perlis ,Malaysia,,,Yang di-Pertuan,
Elizabeth II,http://en.wikipedia.org/wiki/Elizabeth_II,Elizabeth II (Elizabeth Alexandra Mary; born 21 April 1926) [a] is the constitutional monarch of 16 of the 53 member states in the Commonwealth of Nations. She is also Head of the Commonwealth and Supreme Governor of the Church of England .,"http://en.wikipedia.org/wiki/Special:FilePath/Elizabeth_II_greets_NASA_GSFC_employees,_May_8,_2007_edit.jpg?width=300",1926,26,6 February 1952,1952,,,"62 years,277 days",22927 (on 14th of November),Yes,Yes,"London (England), United Kingdom",United Kingdom,Commonwealth realms,N/A - Commonwealth realms,,,Queen,
Hamad bin Mohammed Al Sharqi,http://wikipedia.org/wiki/Hamad_bin_Mohammed_Al_Sharqi,,,1948,26,18 September 1974,1974,,,"40 years,53 days",14667 (on 14th of November),Yes,Yes,"Ajman, Unitd Arab Emirates",United Arab Emirates,Fujairah ,United Arab Emirates,,,Emir,
Jigme Khesar Namgyel Wangchuck,http://wikipedia.org/wiki/Jigme_Khesar_Namgyel_Wangchuck,"Jigme Khesar Namgyel Wangchuck (Dzongkha: འཇིགས་མེད་གེ་སར་རྣམ་རྒྱལ་དབང་ཕྱུག་, born 21 February 1980) is the son of Jigme Singye Wangchuck and the 5th and current reigning Druk Gyalpo or ""Dragon King"" of the Kingdom of Bhutan. He became King on 9 December 2006. A public coronation ceremony was held on 1 November 2008, an auspicious year that marked 100 years of monarchy in Bhutan. ",http://en.wikipedia.org/wiki/Special:FilePath/King_Jigme_Khesar_Namgyel_Wangchuck_(edit).jpg?width=300,1980,26,15 December 2006,2006,,,"7 years,330 days",2891 (on 14th of November),Yes,Yes,"Thimphu, Bhutan",Bhutan,Bhutan,Bhutan,,,King,
"Rainier III, Prince of Monaco","http://en.wikipedia.org/wiki/Rainier_III,_Prince_of_Monaco","Rainier III (Rainier Louis Henri Maxence Bertrand Grimaldi; 31 May 1923 – 6 April 2005) ruled the Principality of Monaco for almost 56 years, making him one of the longest ruling monarchs of the 20th century. Though he was best known outside of Europe for having married American actress Grace Kelly, he was also responsible for reforms to Monaco's constitution and for expanding the principality's economy beyond its traditional gambling base. Gambling accounts for only approximately three percent of the nation's annual revenue today; when Rainier ascended the throne in 1949, it accounted for more than 95 percent. ",http://commons.wikimedia.org/wiki/Special:FilePath/Prince_Rainier_III.jpg?width=300,1923,26,9 May 1949,1949,6 April 2005,2005,"55 years,332 days",20420,Yes,No,"Principate of Monaco, Monaco",Monaco,Monaco,Principate of Monaco,,,Prince,
Sikiru Kayode Adetona,http://en.wikipedia.org/wiki/Sikiru_Kayode_Adetona,"Sikiru Kayode Adetona (born 10 May 1934) is the Awujale (king) of the Ijebu Kingdom, a traditional state in Nigeria, having reigned since 1960. He is the son of Prince Rufai Adetona and Alhaja Ajibabi Adetona (née Onashile) and represents the Anikinaiya ruling family.",,1934,26,4 January 1960,1960,,,"54 years,310 days",20038 (on 14th of November),Yes,Yes,,,Ijebuland ,Nigeria,,,Awujale,
"Ernst I, Duke of Saxe-Altenburg","http://en.wikipedia.org/wiki/Ernst_I,_Duke_of_Saxe-Altenburg","Ernst I, Duke of Saxe-Altenburg (German: Ernst I. Friedrich Paul Georg Nikolaus von Sachsen-Altenburg) (Hildburghausen, 16 September 1826 – Altenburg, 7 February 1908), was a duke of Saxe-Altenburg. He was the first son of Georg, Duke of Saxe-Altenburg and Marie Luise of Mecklenburg-Schwerin. In 1853 he succeeded his father as Duke of Saxe-Altenburg. He was of a retiring disposition and he took little active part in running the country. After a reign that lasted fifty five years, he died without a living direct male heir; because of this, he was succeeded by his nephew, Ernst .",http://en.wikipedia.org/wiki/Special:FilePath/ERNSTIofSaxeAltenburg.jpg?width=300,1826,27,3 August 1853,1853,7 February 1908,1908,"54 years,188 days",19911,Yes,No,"Hildburghausen, Germany",Germany,Saxe-Altenburg,Germany,,,Duke,
Letsie III,http://wikipedia.org/wiki/Letsie_III_of_Lesotho,"Letsie III (born David Mohato Bereng Seeiso; 17 July 1963) is the reigning king of Lesotho. He succeeded his father, Moshoeshoe II, when the latter was forced into exile in 1990. His father was briefly restored in 1995 but soon died in a car crash in early 1996, and Letsie became king again. As a constitutional monarch, most of King Letsie's duties as monarch of Lesotho are ceremonial. ",http://commons.wikimedia.org/wiki/Special:FilePath/Coats_of_arms_of_Lesotho.svg?width=300,1963,27,12 November 1990,1990,,,"23 years,363 days",8768 (on 14th of November),Yes,Yes,"Morija, Lesotho",Lesotho,Lesotho,Lesotho,,,King,
Carl XVI Gustaf,http://wikipedia.org/wiki/Carl_XVI_Gustaf_of_Sweden,"Carl XVI Gustaf (full name: Carl Gustaf Folke Hubertus [ˈkʰɑːɭ ˈɡɵ̞stɑːv ˈfɔlˌkɛ hɵ̞bɛˈʈɵ̞s], born 30 April 1946) is the reigning King of Sweden. On 15 September 1973, he succeeded his grandfather Gustaf VI Adolf. He is the only son of Prince Gustaf Adolf, Duke of Västerbotten, and Princess Sibylla of Saxe-Coburg and Gotha .",http://commons.wikimedia.org/wiki/Special:FilePath/Royal_Wedding_Stockholm_2010-Konserthuset-433.jpg?width=300,1946,27,15 September 1973,1973,,,"41 years,56 days",15035 (on 14th of November),Yes,Yes,"Stockholm, Sweden",Sweden,Sweden,Sweden,,,King,"Church of Sweden, Lutheranism, Christianism"
"Christian August, Prince of Anhalt-Zerbst","http://en.wikipedia.org/wiki/Augustus,_Prince_of_Anhalt-Pl%C3%B6tzkau","Augustus of Anhalt-Plötzkau (Dessau, 14 July 1575 – Plötzkau, 22 August 1653), was a German prince of the House of Ascania and ruler of the unified principality of Anhalt. From 1603, he was ruler of the principality of Anhalt-Plötzkau .",http://en.wikipedia.org/wiki/Special:FilePath/Catydaddy.jpg?width=300,1575,28,1603,1603,1653,1653,50 years,18262,Yes,No,"Gommern, Germany",Germany,Anhalt-Plötzkau ,Germany,,,Prince,
Cosimo III de’ Medici,"http://en.wikipedia.org/wiki/Cosimo_III_de%27_Medici,_Grand_Duke_of_Tuscany","Cosimo III de' Medici (14 August 1642 – 31 October 1723) was the penultimate Medici Grand Duke of Tuscany. He reigned from 1670 to 1723, and was the elder son of Grand Duke Ferdinando II. Cosimo's 53-year-long reign, the longest in Tuscan history, was marked by a series of ultra-reactionary laws which regulated prostitution and banned May celebrations. His reign also witnessed Tuscany's deterioration to previously unknown economic lows. He was succeeded by his elder surviving son, Gian Gastone, when he died, in 1723. ",http://commons.wikimedia.org/wiki/Special:FilePath/Cosimo-III-BR.jpg?width=300,1642,28,23 May 1670,1670,31 October 1723,1723,"53 years,161 days",19519,Yes,No,"Florence, Italy",Italy,Tuscany,Italy,,,Grand Duke,
